"","mz","intensity","molecular_formula","compound_name","compound_id","moduleColor","GS.Treatment","p.GS.Treatment","MM.magenta","p.MM.magenta","MM.yellow","p.MM.yellow","MM.blue","p.MM.blue","MM.pink","p.MM.pink","MM.grey","p.MM.grey","MM.turquoise","p.MM.turquoise","MM.green","p.MM.green","MM.red","p.MM.red","MM.greenyellow","p.MM.greenyellow","MM.black","p.MM.black","MM.purple","p.MM.purple","MM.brown","p.MM.brown"
"584.3404457","584.3404457",2901807.2,"","","","black",0.123094499963722,0.375202960702009,-0.318742025871663,0.0188191853703233,0.0727397152563294,0.601174983585497,-0.427066961448827,0.00127907401362535,-0.312351988934561,0.021478586995838,0.0158094864852466,0.909662556838402,0.206607776809037,0.133886341618034,0.482875224454374,0.000217187517967759,0.122309658707655,0.378278535236926,-0.135226782601757,0.329587108398125,0.528308789318723,4.02491813036123e-05,-0.201359493576489,0.144272713295271,0.204588683318033,0.137813557404145
"282.1580773","282.1580773",2631388.94,"","","","black",-0.116772933427054,0.40040061984901,0.340611200425389,0.0117267397225145,-0.352613166929642,0.00891957700245971,0.298226271013148,0.0284998807117241,0.076834143052682,0.580798024007479,0.0529529593914332,0.703733752499441,-0.441233696874221,0.000838738330652224,-0.275061776968851,0.0441145922369677,-0.23862086176962,0.0822694628232395,-0.0277907566886734,0.841887690623482,-0.656609032496081,6.9939676111124e-08,0.127239035822149,0.359211788404352,0.00109923851835422,0.993705786462364
"168.0908817","168.0908817",2142225.4,"","","","black",-0.115727436881037,0.40466099811532,0.605933132350316,1.20288837146855e-06,-0.582464758513575,3.82643410066385e-06,0.0493043868912132,0.723301754805421,0.184182873709829,0.182455934321074,0.225073532473454,0.101773380839186,-0.374312305928104,0.00529664793754549,-0.205660288893252,0.13571864527929,-0.255156520126745,0.0625904407906633,-0.333681619749746,0.013670881368586,-0.713927490404811,1.35815196841994e-09,-0.153158606004803,0.268862748255247,0.155893418005683,0.260304558498965
"238.1289021","238.1289021",2122364.2,"C6H14N4O2||C6H14N4O2||C8H14O4","None||None||None||None||None||None||L-Arginine||D-Arginine||None||None||2-Propylglutaric acid||None||None","None||None||None||None||None||None||C00062||C00792||None||None||C16658||None||None","black",-0.112065341747742,0.41979004441319,0.47398649103582,0.000294055154543866,-0.383812771885308,0.00416927733103695,0.136480230400796,0.32508202955172,0.357273659810345,0.00799829384760244,0.102878631892971,0.459131019911333,-0.388797632105285,0.0036669517430122,-0.184043167398432,0.182793725980898,-0.085007833693486,0.541087971149536,-0.185911124188644,0.178314354727845,-0.644502828101111,1.44737303752148e-07,-0.136192172722701,0.326113893225747,0.14943067535375,0.28082764691975
"377.2030389","377.2030389",3003518.75,"","None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None","None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None","black",-0.104129836847366,0.453657863739248,0.569429724356845,7.00504427079324e-06,-0.590970266011858,2.54223936709199e-06,-0.189448064549586,0.170050990092131,0.45507033073658,0.00054556935104062,0.331401559320906,0.0143682318375473,-0.226273627662854,0.0999132464332245,-0.0494361219387832,0.722592080716931,-0.14487203029434,0.295928728287423,-0.445534220351843,0.000735214863368729,-0.58012489661203,4.27337419723761e-06,-0.442061954216022,0.000817835157121643,0.110468063799898,0.426488540480254
"256.6226264","256.6226264",333161.23,"","","","black",0.103401711052044,0.456838553407001,0.169465367945368,0.220554099310281,-0.264632725171496,0.0531411622196415,0.619072876575787,6.03669187988289e-07,0.0573742764009157,0.680275220649331,0.373274033150573,0.00543473465629574,0.0144479395090084,0.91741430371967,-0.432234210442362,0.00109890578538669,-0.522172684267877,5.12609118565741e-05,-0.0941456291048443,0.498314157525904,-0.612804922530918,8.42028824463751e-07,0.164662730726638,0.234105970523289,-0.45661070206014,0.000519477142294309
"348.6693044","348.6693044",1017447.3,"","","","black",0.102028646181147,0.46286950672748,0.428837882929022,0.00121454807438919,-0.458354226552809,0.000491309490772618,0.467993135870762,0.000359052544656932,0.252870389482113,0.0650610064552847,0.274001120504207,0.0449709604251538,-0.286613022860925,0.0356244019134908,-0.41115300782778,0.00201179816332246,-0.436539272630585,0.000966566295228613,-0.144398152833545,0.297528220389455,-0.865908922178513,2.86603598986055e-17,0.119520717449848,0.389328972980619,-0.161396784329545,0.243642429514433
"268.1570557","268.1570557",1785686.7,"","","","black",-0.101505501486022,0.465178616680991,0.337934735040312,0.0124474046811126,-0.376734335584972,0.00498642033699353,0.241605073326023,0.0783972686423114,0.0569797025217765,0.682356972679743,0.158097961736769,0.253540427796605,-0.292588725520207,0.0317934561849526,-0.337823064067623,0.012478282746633,-0.31389548732504,0.0208087422285477,-0.214076057525649,0.120088281487227,-0.676702839431197,1.94041862007422e-08,0.0299715588135747,0.829658269522621,0.00892574883598639,0.948924772749706
"264.0922459","264.0922459",653305.79,"","","","black",0.0948580140591613,0.495054513870983,-0.391324939953475,0.00343330074290028,0.502696208890607,0.000107179033736425,-0.151898202459246,0.272869417097339,-0.39814491231931,0.00286711301520521,-0.259892507405089,0.0577119972831766,0.320971331780274,0.0179597241787588,0.203513725499038,0.139939241259428,0.22235793491514,0.106081257433085,0.227399948926425,0.0981915069950891,0.657071780410842,6.79779832841198e-08,0.134136099081677,0.333538970515222,0.0976510015435661,0.482382157483093
"326.1421412","326.1421412",538935.3,"","","","black",-0.0945082188562315,0.496653680377582,0.423312053508853,0.00142614775697853,-0.522830209626205,4.9960682630585e-05,0.253634987960804,0.0642261795333101,-0.101369233223372,0.46578111054684,0.362974872110468,0.00698465154514115,-0.185864706891572,0.178424693939904,-0.253728455350159,0.0641247187186114,-0.432922337609262,0.00107671687723379,-0.162817305888976,0.239462498512182,-0.660117184428271,5.6301891850937e-08,-0.00550478559368194,0.968487369509988,-0.114217912660989,0.410858488218583
