mz	pval.BH.Time_point	pval.BH.Treatment	pval.BH.Genotype	pval.BH.Time_point:Treatment	pval.BH.Time_point:Genotype	pval.BH.Treatment:Genotype	pval.BH.Time_point:Treatment:Genotype	selected.var	Mean_Time_point.12h	Mean_Time_point.24h	Mean_Time_point.4h	Mean_Time_point.8h	Mean_Treatment.CAR	Mean_Treatment.CON	Mean_Genotype.I	Mean_Genotype.X
289.1361161	0.0096435036	0.2501785091	0.4559247229	0.9981431924	0.0009860671	0.9905120932	0.9732930931	no	15.1075231965625	14.997147673125	15.262134685625	15.1618460819355	15.0714265851562	15.1933921406349	15.1131047379687	15.1510524298413
289.1449265	0.6421248708	0.6084643679	0.0154778877	0.9981431924	0.0924597586	0.9905120932	0.9923570386	no	14.4285284334375	14.3239155790625	14.315224116875	14.4251281935484	14.33700742	14.4091409406349	14.2810248717187	14.4660121007936
289.1501208	0.7707474262	0.7744477063	0.0126633658	0.9981431924	0.2596273099	0.9905120932	0.9181250615	no	14.9027529565625	14.90337467875	14.900239870625	14.9680419893548	14.905555830625	14.9310712492063	14.8569411428125	14.9804575987302
289.1505297	0.8508125879	0.6278563704	1.00844e-05	0.9981431924	0.2572748048	0.9905120932	0.9895088927	no	16.4828406578125	16.5284823340625	16.4509296253125	16.4245815274194	16.4360671595313	16.5086636966667	16.29138659	16.6556407831746
289.1617836	0.1139893374	0.7814018163	3.6462e-06	0.9981431924	0.243083032	0.9905120932	0.9024630274	no	17.0297503928125	17.039764398125	17.2526733028125	17.0348532564516	17.10698489375	17.0721180436508	16.9221294753125	17.2599076750794
289.1632397	0.285073146	0.8351432909	0	0.9981431924	0.4872778861	0.9905120932	0.6215331751	no	16.8705896853125	17.0444757134375	16.8617639146875	16.7528477612903	16.8635235673438	16.903671592381	17.367413286875	16.3917836233333
289.1949935	0.5095836132	0.4774868699	0.0006464529	0.9981431924	0.0366150526	0.9730413123	0.9919597918	no	14.821852505625	14.953648325	14.82897418375	14.8216986164516	14.8132054357812	14.901122375873	14.7408143904687	14.9746624853968
289.5917732	0.4712900893	0.2725242873	2.23e-08	0.9981431924	0.2653719637	0.9905120932	0.9919597918	no	14.7918930875	14.7817002175	14.6113336503125	14.656819623871	14.61118241875	14.8121173985714	14.4479873778125	14.9779028369841
289.6378149	0.0006542315	0.3772367981	0.3972665028	0.9981431924	0.0022694797	0.9905120932	0.9935828372	no	14.0305955109375	13.9950149796875	14.14865456	14.077043466129	14.0417054529687	14.0840584139683	14.0522619057813	14.0733343984127
289.6502588	0.0359799095	0.8225038922	0.5767324219	0.9981431924	0.4393838668	0.9730413123	0.9923210969	no	14.2841057503125	14.1811230765625	14.3824496203125	14.3386419225806	14.2868132484375	14.305834317619	14.3101042175	14.2821736506349
289.6649373	0.2932494325	0.992943238	0	0.9981431924	0.8530537272	0.9999127051	0.3528151229	no	15.45448512625	15.6270755859375	15.4313591928125	15.4218423596774	15.4825954404687	15.485784792381	15.91392446125	15.0476092792064
289.686228	0.7522945509	0.8706377651	0	0.9981431924	0.4866796188	0.9730413123	0.9974648563	no	16.4999619465625	16.617846900625	16.5337382640625	16.6885918364516	16.566027460625	16.6026999525397	17.0211997270312	16.1403027295238
290.0860489	0.0010349889	0.4307565759	0	0.9981431924	0.206886521	0.9905120932	0.992442367	no	14.3178620353125	14.4692145390625	14.1655011003125	14.2498381129032	14.3371013770312	14.2643329993651	14.508693801875	14.0900168852381
290.0909174	0.9281608828	0.8732718484	0	0.9981431924	0.1493487436	0.9730413123	0.8101723495	no	14.5390606175	14.536179115625	14.5745579721875	14.5454217806452	14.555155106875	14.5424075385714	14.3430370607812	14.7578925377778
290.108859	0.3929370439	0.2321990608	0	0.9981431924	0.001918934	0.9730413123	0.9998685908	no	14.9228389571875	14.9374563125	14.8691899709375	14.8024266448387	14.9580872479688	14.8079550765079	15.188174081875	14.5742160706349
290.1346118	0.3432341437	0.5141235805	0.0055354697	0.9981431924	0.2513330008	0.9905120932	0.9985883966	no	16.985883385625	17.1906041190625	17.1312936021875	17.2716396858065	17.0833491365625	17.2053250942857	16.99992043625	17.2900780596825
