mz	pval.BH.Time_point	pval.BH.Treatment	pval.BH.Genotype	pval.BH.Time_point:Treatment	pval.BH.Time_point:Genotype	pval.BH.Treatment:Genotype	pval.BH.Time_point:Treatment:Genotype	selected.var	Mean_Time_point.12h	Mean_Time_point.24h	Mean_Time_point.4h	Mean_Time_point.8h	Mean_Treatment.CON	Mean_Treatment.Pb	Mean_Genotype.I	Mean_Genotype.X
257.0691947	0.0806131845	0.7506990222	4.31e-08	0.9630275682	0.5462498444	0.9943818927	0.9997653318	no	15.5335926364516	15.302906195625	15.7904896184375	15.6096335916129	15.5142015760317	15.6037139655556	15.2160652822222	15.9018502593651
257.0812942	0.0055440235	0.4686598976	0.3937788146	0.9699122964	0.4637490618	0.117580129	0.9997653318	no	15.1123220232258	15.277082101875	14.8819063778125	14.9632772977419	15.127462307619	14.9904934114286	15.0257301888889	15.0922255301587
257.0813042	0.0010676491	0.3819475826	0.0401946872	0.9889501917	0.6610303434	0.0731754937	0.9997653318	no	14.9772226151613	15.12981157375	14.6851012746875	14.8468736454839	14.9886000507937	14.8308316195238	14.8353564580952	14.9840752122222
257.1141955	0.8068140655	0.506670786	0	0.9434540589	0.9691750161	0.9310611101	0.9997653318	no	15.4331740829032	15.485233298125	15.5286385509375	15.4215657487097	15.4088262480952	15.5267425447619	15.122054057619	15.8135147352381
257.124188	0.8039495393	0.6366453126	0	0.7955838155	0.9884896295	0.8602787814	0.9997653318	no	15.8523963216129	15.9070696621875	15.80181699125	15.8251897183871	15.8095806760317	15.883904088254	14.9391284488889	16.7543563153968
257.1507088	0.730146682	0.5852261726	0	0.9630275682	0.9280937144	0.9709441901	0.9997653318	no	18.1374076993548	18.17867808125	18.2356345003125	18.1184816906452	18.125814658254	18.2105436544444	17.8517300280952	18.4846282846032
257.1513829	0.9289385012	0.5877244869	0	0.9479224591	0.4774510399	0.9602977132	0.9997653318	no	14.9786427322581	14.9935716190625	15.0240290478125	14.9600651293548	14.9513065684127	15.0274738292063	14.749352115873	15.229428281746
257.1728645	0.0870551568	0.4868166926	3.656e-07	0.9548762858	0.5025580871	0.9916239828	0.9997653318	no	15.9123277412903	15.99053974875	16.15556866625	15.9966296122581	16.0668563066667	15.9625587288889	15.855754807619	16.1736602279365
257.1730605	0.1410645684	0.9413943088	0.3173338987	0.9849222989	0.7571595277	0.978691356	0.9997653318	no	16.0090743654839	16.1100713290625	16.219806226875	16.0001481341935	16.091962051746	16.0801328574603	16.1203412574603	16.051753651746
257.4293562	0.0134525531	0.5132873041	0.0020046777	0.7759358442	0.6154690833	0.7420189702	0.9997653318	no	14.0286195080645	13.93090903	14.05399352875	14.0162317545161	14.026594492381	13.9878066349206	13.9682223353968	14.0461787919048
257.5889592	0.0228803067	0.7738374594	0.4630882686	0.9898202765	0.4170485536	0.8864249782	0.9997653318	no	14.2442728148387	14.0185260040625	14.2685653546875	14.1940336683871	14.1627200401587	14.1987787607937	14.2015503453968	14.1599484555556
257.6162695	0.0959232861	0.5129195632	0	0.9590157083	0.9695342426	0.9590960826	0.9997653318	no	14.1988125774194	14.293532220625	14.1576278925	14.196134253871	14.1840989892063	14.2394006201587	14.4059588047619	14.0175408046032
257.6344418	1.436e-07	0.5511897689	3.9e-09	0.8498035749	0.5716083921	0.8609337953	0.9997653318	no	14.6666618516129	15.1081465990625	14.4586774084375	14.5808854251613	14.6557142755556	14.7540053088889	14.9258555812698	14.4838640031746
