"","mz","intensity","molecular_formula","compound_name","compound_id","moduleColor","GS.Treatment","p.GS.Treatment","MM.tan","p.MM.tan","MM.red","p.MM.red","MM.grey","p.MM.grey","MM.green","p.MM.green","MM.black","p.MM.black","MM.magenta","p.MM.magenta","MM.turquoise","p.MM.turquoise","MM.yellow","p.MM.yellow","MM.pink","p.MM.pink","MM.blue","p.MM.blue","MM.greenyellow","p.MM.greenyellow","MM.brown","p.MM.brown","MM.purple","p.MM.purple"
"312.1303289","312.1303289",1852923.3,"","","","black",0.381615920758348,0.00202850908939454,0.0141640965401369,0.912268026528907,-0.290206702542455,0.0210428960385288,-0.207856820043689,0.102115515071182,-0.14490880370744,0.257155938944948,0.665692117254176,2.63665101903989e-09,0.154554694447832,0.226487118931821,0.126900459096466,0.321643958960474,-0.298454787604922,0.0175061879511719,0.304904898621591,0.015106771375277,0.304775745351241,0.0151518912576567,0.135526138042345,0.289572442758491,0.506802663568664,2.25114759026532e-05,-0.0939742250368085,0.463812059585111
"180.0878581","180.0878581",6042546.07,"C5H9NO4||C5H9NO4||C5H9NO4||C5H9NO4||C5H9NO4||C5H9NO4||C7H9N5O","L-Glutamate||D-Glutamate||O-Acetyl-L-serine||L-threo-3-Methylaspartate||L-4-Hydroxyglutamate semialdehyde||2-Oxo-4-hydroxy-5-aminovalerate||7-Aminomethyl-7-carbaguanine","C00025||C00217||C00979||C03618||C05938||C05941||C16675","black",0.372778678876034,0.00262237635018125,0.024147559733406,0.850990657029105,-0.278225434719569,0.0272499723917223,-0.193909247872544,0.127813679683127,-0.0443671550397366,0.729890185108459,0.634339796343816,2.37833479404259e-08,0.152488181081884,0.232833020558616,0.116806312092681,0.361936223708717,-0.329781041674515,0.00830474914165395,0.251607449462005,0.0466782075157995,0.254529962868176,0.0441039716112463,0.134823620658676,0.292103015223093,0.425761670075704,0.000503581490128253,-0.0495601318482941,0.699695683178884
"128.0453305","128.0453305",2758256.54,"C4H5N3O2||C4H5N3O2","5-Amino-4-imidazole carboxylate||1-Methyl-4-nitroimidazole","C05516||C16621","black",0.240925341599624,0.0571561981875792,0.0549294139150864,0.668956111369146,-0.0146905802221811,0.90902057423358,0.219856306044062,0.0833868453063772,-0.476586069242411,7.86230355119225e-05,0.952880778323178,2.66632395630317e-33,-0.0483952113367422,0.706430882441999,-0.0221887858094281,0.862956045481319,-0.458225851391765,0.000159062578009126,0.0550679046579314,0.668170091188563,0.274128790721757,0.0296981985671216,0.00349403883752547,0.978317929247903,0.501052768910396,2.88228942407463e-05,0.0170613558645062,0.894416294002837
"306.0804708","306.0804708",4671240.6,"C13H12O4S||C13H12O4S||C13H12O4S||C13H12O4S||C13H12O4S||C9H11N5O3||C9H11N5O3||C10H13N5O5","(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid||(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid||(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid||(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid||(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid||None||None||None||Sepiapterin||6-Pyruvoyltetrahydropterin||Guanosine","C14799||C14799||C14799||C14799||C14799||None||None||None||C00835||C03684||C00387","black",0.238704417847397,0.0595579095815069,0.0942546358343335,0.462473510077807,0.332530946890012,0.00775007958987383,0.754868216758774,8.92706265761437e-13,-0.437764364670397,0.000333287737115552,0.503846400544932,2.55758424236826e-05,-0.498678179999963,3.18789599244178e-05,-0.363781072680588,0.00338162784649014,0.0352907828673316,0.783632631757503,-0.355823408594364,0.00420955704679961,0.152145735026258,0.233896375129949,-0.424891380870124,0.000518574817216733,-0.222291290620635,0.07994047562575,0.246454298641707,0.0515170528899874
"290.108859","290.108859",1311878.305,"C8H10N4O4||C8H10N4O4","5-Acetylamino-6-formylamino-3-methyluracil||5-Acetylamino-6-formylamino-3-methyluracil||None||None","C16365||C16365||None||None","black",0.237351885283027,0.0610601055240483,0.173979504121727,0.172664413017166,0.278029784496685,0.0273629071932937,0.624404801125876,4.53898544825737e-08,-0.487595843962247,5.05282489278655e-05,0.602826507535723,1.71349831259561e-07,-0.357553306469437,0.00401570655429697,-0.383353796424481,0.00192700984351175,0.000704713173646671,0.995626436539419,-0.144554053316539,0.258334979139979,0.311341927727745,0.0129994252877371,-0.104480260847476,0.415121708786919,-0.0828687205540213,0.518479707499358,0.0202672471192678,0.874723860669865
"294.1186672","294.1186672",522564.19,"C11H22N2O8||C11H22N2O8||C11H22N2O8||C10H12N4O4||C11H19NO8","Mannopine||Mannopine||Mannopine||Deoxyinosine||None||N-Acetylmuramate","C16692||C16692||C16692||C05512||None||C02713","black",-0.232520342584937,0.0666779167041546,0.0766534915885331,0.550431096412782,0.000765390347427412,0.995249868392506,-0.073617110546991,0.566376805087563,0.0636317722846342,0.620282303847901,-0.597848344674025,2.29611011661785e-07,0.0177942172975309,0.889908598088997,-0.26403851384635,0.036524587275478,0.597822895606939,2.299518906481e-07,0.186850102842334,0.142559335333762,0.116657339299983,0.362553039732256,0.114728150886238,0.370598648458031,-0.367494310095358,0.00304738672269537,0.015605057342448,0.903383457024628
"232.0815307","232.0815307",565275.01,"C8H8O4||C7H10O6||C8H8O4||C9H10O6||C9H13NO6||C8H8O4||C9H13NO6||C7H10O6||C8H8O4","Homogentisate||3-Dehydroquinate||3,4-Dihydroxyphenylacetate||2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate||N-Acetyl-L-2-amino-6-oxopimelate||3,4-Dihydroxymandelaldehyde||N-Succinyl-L-glutamate 5-semialdehyde||2,4-Dihydroxyhept-2-enedioate||2,6-Dihydroxyphenylacetate","C00544||C00944||C01161||C04479||C05539||C05577||C05932||C06201||C06207","black",0.229932401873256,0.069853471724469,0.252593123583242,0.0457965601643561,0.16384505670196,0.199446873707272,0.56777110653733,1.21685503689076e-06,-0.207160266735317,0.103295515065246,0.629916785444276,3.18023828975172e-08,-0.303488971694746,0.015607783203016,-0.15743512825685,0.217844088947988,-0.211514879212175,0.096089437866418,-0.337111574346672,0.00689782378259942,0.0895581260310634,0.485167507631779,-0.159760581305979,0.211037062958305,-0.00170320821336768,0.989429865401612,-0.0184392037361241,0.88594426963256
"247.0923619","247.0923619",1574351.25,"C8H9NO4||C8H9NO4||C9H11NO6||C9H11NO6","4-Pyridoxate||3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate||4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde||5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde","C00847||C04773||C04796||C04797","black",0.219440201382936,0.0839873490995375,0.303869352069045,0.0154718086944594,0.0800182523862762,0.533016627651031,0.47130638917957,9.66791952217036e-05,-0.431899329804616,0.000408540675116134,0.803818656833125,2.18062192672486e-15,-0.384599848096197,0.00185705921965085,-0.306559075716835,0.0145390068210092,-0.132271434008474,0.301417953582196,-0.137299541073682,0.283248601049747,0.396388906450087,0.00129954285474848,-0.188602205279379,0.138785850333076,0.0865756352054763,0.499878672912868,-0.0445677873978142,0.728715645257437
"166.0721848","166.0721848",5891054.55,"C4H7NO4||C4H7NO4","L-Aspartate||D-Aspartate","C00049||C00402","black",0.215781283833818,0.0894158524704672,0.0186802050949688,0.884463693698019,-0.212604462888866,0.094349237567452,-0.0743046275252601,0.56274741845103,-0.262183832192522,0.0379113175536433,0.804381053822215,2.01554779831767e-15,0.0858932623631809,0.503276631066606,0.155794883088769,0.222737014685214,-0.456480128827054,0.000169735475406626,0.113009939713697,0.377854629854329,0.206699639526998,0.104081631187623,0.099912617571891,0.435918581124556,0.583304696544483,5.25158264872043e-07,-0.0495599505617699,0.699696729545656
"132.0654025","132.0654025",4679686.05,"C3H6O3||C3H6O3||C3H6O3||C5H9NO3||C3H6O3||C5H6O3||C3H6O3||C5H9NO3||C5H9NO3||C5H9NO3||C5H9NO3||C3H6O3||C5H9NO3||C5H9NO3||C5H9NO3||C5H9NO3||C4H4O||C5H9NO3","Glycerone||(S)-Lactate||(R)-Lactate||5-Aminolevulinate||D-Glyceraldehyde||2-Hydroxy-2,4-pentadienoate||3-Hydroxypropanoate||N-Acetyl-beta-alanine||5-Amino-2-oxopentanoic acid||Hydroxyproline||L-Glutamate 5-semialdehyde||L-Glyceraldehyde||2-Amino-4-oxopentanoic acid||cis-4-Hydroxy-D-proline||(S)-4-Amino-5-oxopentanoate||trans-3-Hydroxy-L-proline||3-Butyn-1-al||cis-3-Hydroxy-L-proline","C00184||C00186||C00256||C00430||C00577||C00596||C01013||C01073||C01110||C01157||C01165||C02426||C03341||C03440||C03741||C05147||C06145||C19706","black",0.214483020543201,0.0914069052587825,0.311372006879673,0.0129902062458005,-0.0961130662797376,0.453655568026337,0.344540435790499,0.00568954138734119,-0.342672879869274,0.00597431388977893,0.703442039606114,1.28325300803855e-10,-0.258529656828519,0.0407713995055997,-0.139959549286869,0.27393547607134,-0.176512154653451,0.166401495718992,-0.106467225609686,0.406256503910049,0.363430104861142,0.00341484328173293,-0.0543590558340724,0.67219696668865,0.196364786924314,0.122965260659199,-0.132751059466305,0.299652869069834
