"","mz","intensity","molecular_formula","compound_name","compound_id","moduleColor","GS.Treatment","p.GS.Treatment","MM.purple","p.MM.purple","MM.pink","p.MM.pink","MM.grey","p.MM.grey","MM.blue","p.MM.blue","MM.yellow","p.MM.yellow","MM.cyan","p.MM.cyan","MM.greenyellow","p.MM.greenyellow","MM.turquoise","p.MM.turquoise","MM.magenta","p.MM.magenta","MM.green","p.MM.green","MM.brown","p.MM.brown","MM.tan","p.MM.tan","MM.black","p.MM.black","MM.salmon","p.MM.salmon","MM.red","p.MM.red"
"300.1910768","300.1910768",5161886.4,"","","","black",-0.176478914109834,0.201760519139968,0.115663389230425,0.404922843692529,0.0302798558072947,0.827932570899049,-0.145843163007094,0.292668327750699,0.0229537071425258,0.869141187672944,0.249254637516987,0.0691272667818806,0.125583609317753,0.365548491395441,-0.0312459212535549,0.822530256409899,-0.301247471068203,0.0268555665822696,-0.064525219555915,0.642969941360315,-0.657678737203701,6.54832631269793e-08,0.391866535015332,0.0033849765662962,-0.246770617676054,0.0720363752920914,0.814391821540012,6.87946298809886e-14,-0.352590402715732,0.00892429375309545,-0.427387388177042,0.00126717608040618
"207.1149517","207.1149517",641201.965,"","","","black",0.16368782991511,0.23692535464333,-0.26253316683186,0.0551280930943643,0.0115592126045744,0.93388518530259,0.123457159902801,0.37378687902784,-0.262064076686059,0.0555801346219717,-0.167514130347004,0.225992589500218,-0.295285914114626,0.0301802008166426,-0.0520918178741088,0.708335632939959,0.177438343754401,0.199280590986896,-0.164120351002482,0.235671654773575,0.695910792644749,5.17140819824093e-09,-0.574721966992175,5.49724853824801e-06,0.416786383261128,0.00171807631102144,-0.896733880222363,4.76781627122564e-20,0.140122100086045,0.31221451468918,0.658509370923945,6.22083624975022e-08
"328.7203342","328.7203342",1817519.7,"","","","black",-0.158345203713255,0.252789302952774,0.12297448077892,0.375672308482209,-0.0484130531747588,0.728109530543499,-0.121809644201474,0.380245788675271,0.0869623342467812,0.531791544366613,0.230245686246462,0.0939438694962875,0.338192038122965,0.012376507899211,0.0991279299008538,0.47575090309883,-0.267114679506477,0.0508676746866012,0.225182286274295,0.101603718802358,-0.607849094260226,1.08994378234358e-06,0.610696553692864,9.40246910445901e-07,-0.402368075446189,0.00255951946869162,0.942441249989268,2.12094736240837e-26,-0.144265715674147,0.297976240294674,-0.677378247974794,1.85535578815865e-08
"349.7254608","349.7254608",3011581.8,"","","","black",-0.14907641103835,0.281982645198287,-0.145905534673457,0.292459729666888,-0.0843737067800267,0.54412098584492,-0.107065659484557,0.440957070646132,-0.00979226200147375,0.943973950339885,0.0440451753741217,0.751816739750608,0.530908190817643,3.62784385840216e-05,0.343581551899661,0.0109692795880448,-0.0853627786146649,0.539393864658411,0.651169329284718,9.73615441072109e-08,-0.126898739037084,0.360508885780791,0.702519441446833,3.20333665560068e-09,-0.560021894341524,1.066851793062e-05,0.703969877484742,2.87868692000862e-09,0.266668889540535,0.0512700903458878,-0.788530335644609,1.45084034140565e-12
"345.1768184","345.1768184",5097676.2,"","None||None||None||None||None||None","None||None||None||None||None||None","black",-0.14578753731204,0.29285444615764,-0.0618938559289877,0.656602042617332,-0.347189394699537,0.0101063320493849,-0.0629871964224221,0.650924049903996,0.0239973863155847,0.86324685275256,0.0824263777235089,0.553485990235344,-0.343327445072453,0.0110323848243467,-0.0145390967519924,0.916895068524569,0.241558362025151,0.0784567496661791,-0.0717974801247161,0.605908225595159,0.633850941452953,2.67437685445817e-07,-0.460945155396813,0.000451999603597161,0.250979366641511,0.0671630683992899,-0.787382280656357,1.644757904811e-12,0.243802353597672,0.0756393322139769,0.441954922337452,0.000820509721281455
"206.6130096","206.6130096",3469954.255,"","","","black",0.144510273518876,0.297149270632988,-0.240519010799939,0.0797894799018763,-0.00105193297272692,0.99397665178044,0.125829118804512,0.364604467179183,-0.279975751143593,0.0403196566800261,-0.148922112119435,0.282486678179895,-0.297798265628087,0.0287394944956779,-0.0275035199642569,0.84350127488193,0.165388533641902,0.232022015271557,-0.151075463838262,0.275506081934424,0.702289213465403,3.25794380421782e-09,-0.580495406450007,4.19951103610218e-06,0.387524490500022,0.003789884569957,-0.897965561012858,3.54480467920456e-20,0.140566847162956,0.310665769235717,0.630003506018498,3.31940145087569e-07
"382.6825565","382.6825565",579303.785,"","","","black",-0.139685260865321,0.313740522135889,-0.111019782528648,0.424167988978701,-0.0173537914498763,0.900880440315532,0.0998508387593189,0.472522898523149,-0.193881729545283,0.160090705364645,0.387495412026407,0.00379273430255366,0.539010243994067,2.61004403823467e-05,0.433713834844362,0.0010516927650279,-0.464928499812349,0.000397096571167107,0.440143872581714,0.000866975233953291,-0.309365830390484,0.0228263269148969,0.445086218734981,0.000745434063483498,-0.397415512258003,0.00292343423199165,0.782582867702262,2.75611378032263e-12,-0.072065691603567,0.604559238710611,-0.786394168340522,1.83116386405977e-12
"549.7757931","549.7757931",8771897.2,"","","","black",-0.137035897282723,0.323097384975095,0.110868108922043,0.424805218915322,-0.124266442766281,0.37063846204414,-0.160647384813482,0.245867494530352,0.269915223609649,0.0483979798128252,0.145406909044333,0.294130062390045,0.384256344352309,0.00412224439948328,0.0444413277706393,0.749656796560443,-0.113335751837101,0.414505468268264,0.31748176279168,0.0193203229989987,-0.532029989289689,3.46790307137152e-05,0.711309495841857,1.65974410010795e-09,-0.393864377356084,0.00321187498292982,0.908998548293868,2.07880540922465e-21,0.0247493165287357,0.859004770334666,-0.648570366419479,1.13767235327316e-07
"346.1610332","346.1610332",616303.375,"","None||None","None||None","black",-0.135847235972171,0.32735222187158,0.195789424618733,0.155939406640028,-0.338785701276078,0.0122142544723459,-0.317367191232897,0.0193664379502087,0.194719469112767,0.158257839050264,0.173068611364038,0.210752058567003,-0.631189641244918,3.10647035836827e-07,-0.339422401885744,0.0120422749725842,0.355700163622575,0.00829963592111843,-0.370553007002337,0.00581169292419872,0.370969782132677,0.00575251121153483,-0.478680092346382,0.000250835441122308,0.131057428494875,0.344853194240348,-0.785515034333425,2.01374538166573e-12,0.156507579972326,0.258408082663422,0.592891943845863,2.31414922851019e-06
"402.198671","402.198671",2194269.55,"","","","black",0.128892439643694,0.352950176485947,-0.294172966992936,0.0308374079685769,0.0148424370285351,0.915167479526096,0.176083775244388,0.202788195851838,-0.288639739243653,0.0342844083126007,-0.0551929478547707,0.691813001802415,-0.272732916828108,0.0460127140570254,0.10447627805751,0.45214876532961,0.0630471035041402,0.650613501074897,-0.106616663878709,0.442886575867255,0.64738718772431,1.22065541595144e-07,-0.604216433601141,1.31327432961811e-06,0.288707464240459,0.034240363032509,-0.850951198025359,3.69608407633695e-16,0.10315391437275,0.457923777336356,0.474314718662411,0.000290825831385838
