"","mz","intensity","molecular_formula","compound_name","compound_id","moduleColor","GS.Treatment","p.GS.Treatment","MM.grey","p.MM.grey","MM.purple","p.MM.purple","MM.brown","p.MM.brown","MM.magenta","p.MM.magenta","MM.pink","p.MM.pink","MM.blue","p.MM.blue","MM.black","p.MM.black","MM.turquoise","p.MM.turquoise","MM.red","p.MM.red","MM.green","p.MM.green","MM.yellow","p.MM.yellow"
"186.0161753","186.0161753",2311032,"C3H5O6P||C3H5O6P||C3H5O6P||C3H5O6P||C3H5O6P||C3H5O6P||C3H5O6P||C3H5O6P||C3H5O6P||C3H5O6P||C3H5O6P||C3H5O6P||C3H5O6P||C3H5O6P||C3H8NO6P||C4H7NO2||C5H9NO4||C5H9NO4||C5H9NO4||C5H9NO4||C5H9NO4||C5H9NO4","Phosphoenolpyruvate||3-Phosphonopyruvate||Phosphoenolpyruvate||3-Phosphonopyruvate||Phosphoenolpyruvate||3-Phosphonopyruvate||Phosphoenolpyruvate||3-Phosphonopyruvate||Phosphoenolpyruvate||3-Phosphonopyruvate||Phosphoenolpyruvate||3-Phosphonopyruvate||Phosphoenolpyruvate||3-Phosphonopyruvate||None||None||None||O-Phospho-L-serine||1-Aminocyclopropane-1-carboxylate||L-Glutamate||D-Glutamate||O-Acetyl-L-serine||L-threo-3-Methylaspartate||L-4-Hydroxyglutamate semialdehyde||2-Oxo-4-hydroxy-5-aminovalerate||None","C00074||C02798||C00074||C02798||C00074||C02798||C00074||C02798||C00074||C02798||C00074||C02798||C00074||C02798||None||None||None||C01005||C01234||C00025||C00217||C00979||C03618||C05938||C05941||None","black",0.0794172045899662,0.386550428937827,-0.161759654518357,0.0762983790712694,-0.073740055292064,0.421503185784367,-0.00456108192146811,0.960400209302844,0.356344993993843,6.03042423018222e-05,-0.031675777358141,0.730167009787388,0.213050377256375,0.0189642873286506,0.73653514938288,6.12711928999704e-22,0.143331377279744,0.116790347155583,-0.51129860975627,2.06252107195577e-09,0.0902827969015174,0.324714856497806,-0.258629458922137,0.00417938832157052
"169.0583873","169.0583873",15118154.6,"C5H10N2O3||C5H10N2O3||C5H10N2O3||C5H10N2O3","None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||L-Glutamine||D-Glutamine||Isoglutamine||(R)-3-Ureidoisobutyrate","None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||C00064||C00819||C16673||C21029","black",0.0769606001783064,0.401455526733715,-0.262460800855689,0.00363438748600498,0.221787579715516,0.0144904535168652,-0.132464200465554,0.147512990409866,0.13251656531372,0.147351589107316,0.0408123867360439,0.656708919230831,0.304703316160944,0.000678494184575553,0.754025061511772,1.82524597164526e-23,-0.140755451878506,0.123580940651201,-0.308325594272834,0.000580434994756042,-0.0891524052819891,0.330834151793662,-0.0166154882412501,0.856457300130685
"244.9238047","244.9238047",308446.09,"","None||None||None||None||None||None","None||None||None||None||None||None","black",0.0729264597303348,0.426657984892452,0.242221724436476,0.00743365114304988,0.0581334900793261,0.526494224714702,-0.31431789126443,0.000446375306342445,0.220953412188777,0.0148737117643573,0.505014943008102,3.48283142216124e-09,0.0407477182252955,0.657218494066652,0.885572096305213,1.93448683301583e-41,-0.195627925344533,0.0315241168544505,-0.123139009724887,0.178432776136407,0.271562772961498,0.00258664256453088,-0.193210083610665,0.0337287200521503
"242.9256953","242.9256953",5066688.24,"","None||None||None||None||None||None||None||None","None||None||None||None||None||None||None||None","black",0.0711563630496564,0.437997505762318,0.289850481103161,0.00126070228068825,0.0987552978896196,0.281181415870719,-0.303337137316487,0.000719268878185803,0.192275369500731,0.0346152084827588,0.436603934651672,5.54671133476298e-07,-0.0513955204900392,0.575579988766051,0.950887910055949,1.90229989526669e-62,-0.0950717521126242,0.299602748209773,-0.165682895552017,0.0693446135127263,0.264585973601393,0.0033604227610866,-0.25518009393765,0.00473149500233439
"274.8735993","274.8735993",677679.46,"","None||None||None||None||None||None","None||None||None||None||None||None","black",0.0703357181516381,0.443312200629546,0.128097240745651,0.161447693973375,0.0602931198235737,0.511220733102579,-0.571307156145279,7.75353773959345e-12,0.243950745133557,0.00700787495570487,0.558466966615484,2.81502387796601e-11,0.456901759321346,1.38072804111388e-07,0.755508581140518,1.33664850989335e-23,-0.317342768763203,0.000390136171252374,-0.213876467764898,0.0184955235815549,-0.172055955822315,0.0591511453918749,0.181157694926403,0.0467525070592937
"158.9641832","158.9641832",6200086.5,"","None||None||None||None||None||None","None||None||None||None||None||None","black",0.0693671170374275,0.449631650454663,0.122913546458923,0.179235197019614,0.240573885196228,0.00786059408038159,-0.457915136286694,1.28504603848678e-07,0.0818818397351686,0.371936736460728,0.470550441901775,5.14565058922159e-08,0.25968431110496,0.00402247217362082,0.850319627551506,5.69899845481311e-35,-0.346594333562929,9.84468622980785e-05,-0.108938544050457,0.234270906086332,0.0501458529089738,0.584912963965749,-0.00890938798865227,0.922735994891052
"294.9394749","294.9394749",627628.78,"","None||None||None||None","None||None||None||None","black",0.0693491602412241,0.449749280197416,0.258305739057873,0.0042286312895806,0.160364353561561,0.0789028319621068,-0.290617224520187,0.00122199331918138,0.0953662897891434,0.298101191441462,0.445121140208275,3.1288152214065e-07,-0.0427287435039966,0.641680810980862,0.835334141563591,1.04427740473208e-32,-0.206613091257659,0.022981313085094,-0.030320440873443,0.741295101454484,0.32921063806586,0.000226863852516324,-0.248123848345675,0.00606805484272386
"287.0704216","287.0704216",551811.32,"","None||None||None||None||None||None||None||None||None||None","None||None||None||None||None||None||None||None||None||None","black",0.0669420276533399,0.465672785575515,0.394837509739644,7.40832540217731e-06,-0.155191149811851,0.0891879649333163,0.0698119315386238,0.4467233031911,-0.0106853756578723,0.907397043068677,0.113766361226662,0.214060099361054,-0.481652712220549,2.2320207092192e-08,0.669172969064658,4.88071997820505e-17,0.229890809949855,0.0111928260051307,0.0397244838688171,0.665302188557862,0.550787783712655,5.93081423499516e-11,-0.511799171831855,1.97730516394408e-09
"218.0128896","218.0128896",268314.67,"","","","black",0.0661773525621834,0.470795179513649,-0.0387697337627479,0.672879672227922,0.0318088568656081,0.729077325359551,-0.215241796476716,0.0177427082068386,0.414396229853153,2.29811886248458e-06,0.347885169347967,9.23465961713922e-05,0.253139573595427,0.00508796983749329,0.823388521004918,4.63340444425022e-31,-0.175572243947235,0.0540746297602847,-0.251187826879347,0.00545116568755916,0.162012796810363,0.0758333702597108,-0.0513992936504966,0.575551914903182
"255.0593856","255.0593856",640408.025,"","None||None||None||None||None||None","None||None||None||None||None||None","black",-0.0648293245387419,0.479899623487387,0.256967877673339,0.00443769762659496,0.053242916138927,0.561911632494489,-0.0650238066377503,0.478580287276212,0.0534357262103341,0.560494060967555,0.247169601867863,0.00627246936469556,-0.276081836889079,0.00217538289943234,0.629997515123636,9.81565356782077e-15,-0.0453373758077407,0.621455527705653,0.179145315523828,0.0492894540844344,0.450014852925505,2.23573119605598e-07,-0.278825592341014,0.00195553141501039
"207.0143432","207.0143432",3611842.96,"C6H6O8","None||None||None||None||None||None||None||None||None||None||None||None||None||None||3-Oxalomalate||None||None||None||None||None","None||None||None||None||None||None||None||None||None||None||None||None||None||None||C01990||None||None||None||None||None","black",0.0642995475719786,0.483503459582528,0.0281313812365237,0.75938097568152,0.0967658703919448,0.29103403781633,-0.16451369755962,0.0713610002746091,0.22530444909148,0.012967613330073,0.202183487069097,0.0261515492293625,0.0947724721956807,0.301133574291193,0.902455718203214,2.41957099533476e-45,-0.0343794391592618,0.708137178740916,-0.309966489594355,0.000540454179899794,0.149782527354322,0.101053023720708,-0.207195603703782,0.0225900065395841
"222.988277","222.988277",816816.99,"","None||None||None||None||None||None","None||None||None||None||None||None","black",0.0642265004998091,0.484001501289679,0.0588035907789349,0.521730585125474,-0.0714983089266338,0.435793706268701,-0.124065914205946,0.17516165434991,0.393487591740832,8.01000876248187e-06,0.285247572703704,0.00151752811839191,0.054255558348077,0.554485692750122,0.784314538268826,1.95630825004891e-26,-0.0145269929087091,0.874341308677075,-0.26566640474375,0.0032283857198457,0.198893332219513,0.0287413594202638,-0.156577857281556,0.086331701856542
"185.0324127","185.0324127",5120159.98,"C5H10N2O3||C5H10N2O3||C5H10N2O3||C5H10N2O3","None||None||None||None||None||None||None||None||None||None||None||None||None||None||L-Glutamine||D-Glutamine||Isoglutamine||(R)-3-Ureidoisobutyrate||None","None||None||None||None||None||None||None||None||None||None||None||None||None||None||C00064||C00819||C16673||C21029||None","black",0.063229538194429,0.490826261357875,-0.181721251915891,0.0460618155438759,0.0941964350120269,0.304094475603386,-0.0785945767196945,0.39150405561197,0.251142512822977,0.00545986578369395,0.0380491601797077,0.678620433343641,0.194204079244841,0.0328071162879836,0.776885316921889,1.15539246516146e-25,0.0110136587417386,0.904565268647772,-0.372072941398094,2.64317666185105e-05,-0.0347685518046918,0.704985888137568,-0.0861967360701717,0.347179987966152
"216.9229536","216.9229536",1616258.15,"","None||None||None||None||None||None||None||None","None||None||None||None||None||None||None||None","black",0.0624078154775006,0.496489562294568,0.0609894988207422,0.506344932049704,0.277003967067376,0.002099117148715,-0.283256060317172,0.00164272061791318,0.0716804022428098,0.434622718073747,0.366328333046271,3.59030846080655e-05,0.0918707312886885,0.316242377002258,0.80461219432104,1.04465724134632e-28,-0.299636904810835,0.000841252815981287,-0.00107392711325524,0.99067247955707,0.17757951297037,0.0513413959667488,-0.0884845298421669,0.33448403714542
