"","comp 1","comp 2","comp 3","comp 4","comp 5"
"129.5942293",0,0,0,0,0
"130.0498613",0,0,0,0,0
"130.0498908",0,0,0,0,0
"130.0648875",0,0,0,0,0
"130.0863193",0,0,0,0,0
"130.0974385",0,0,0,0,0
"130.6019447",0,0,0,0,0
"131.0338158",0,0,0,0,0
"131.0490665",0,0,0,0,0
"131.0531446",0,0,0,0,0
"131.0531882",0,0,0,0,0
"131.0680462",0,0,0,0,0
"131.1007881",0,0,0,0,0
"131.1035835",0,0,0,0,0
"131.1178308",0,0,0,0,0
"131.1291019",0,0,0,0,0
"132.0441413",0,0,0,0,0
"132.0525372",0,0,0,0,0
"132.0540561",0,0,0,0,0
"132.0654025",0,0,0,0,0
"132.0805653",0,0,0,0,0
"132.102117",0,0,0,0,0
"133.0316866",0,0,0,0,0
"133.0316886",0,0,0,0,0
"133.0345826",0,0,0,0,0
"133.0490553",0,0,0,0,0
"133.0491558",0,0,0,0,0
"133.0492343",0,0,0,0,0
"133.0494663",0,0,0,0,0
"133.060705",0,0,0,0,0
"133.0838093",0,0,0,0,0
"133.0971532",0,0,0,0,0
"133.1047879",0,0,0,0,0
"134.0269377",0,0,0,0,0
"134.0350213",0,0,0,0,0
"134.0446883",0,0,0,0,0
"134.0460361",0,0,0,0,0
"134.0599016",0,0,0,0,0
"134.0810003",0,0,0,0,0
"134.1004982",0,0,0,0,0
"134.1057655",0,0,0,0,0
"135.0165185",0,0,0,0,0
"135.0274234",0,0,0,0,0
"135.0300636",0,0,0,0,0
"135.0300683",0,0,0,0,0
"135.0300778",0,0,0,0,0
"135.0320842",0,0,0,0,0
"135.0479874",0,0,0,0,0
"135.0676327",0,0,0,0,0
"135.0838378",0,0,0,0,0
"135.1093182",0,0,0,0,0
"135.9772158",0,0,0,0,0
"136.0141794",0,0,0,0,0
"136.0141956",0,0,0,0,0
"136.0334378",0,0,0,0,0
"136.0426585",0,0,0,0,0
"136.061467",0,0,0,0,0
"136.0616087",0,0,0,0,0
"136.0734162",0,0,0,0,0
"136.0756189",0,0,0,0,0
"136.1049953",0,0,0,0,0
"136.5893942",0,0,0,0,0
"137.0174372",0,0,0,0,0
"137.0295442",0,0,0,0,0
"137.0457553",0,0,0,0,0
"137.0458074",0,0,0,0,0
"137.0458211",0,0,0,0,0
"137.0458233",0,0,0,0,0
"137.0595614",0,0,0,0,0
"137.0707838",0,0,0,0,0
"137.0788972",0,0,0,0,0
"137.0808041",0,0,0,0,0
"137.1322438",0,0,0,0,0
"137.1322466",0,0,0,0,0
"137.5389966",0,0,0,0,0
"138.0295135",0,0,0,0,0
"138.0303433",0,0,0,0,0
"138.0487162",0,0,0,0,0
"138.0490759",0,0,0,0,0
"138.0548893",0,0,0,0,0
"138.0629538",0,0,0,0,0
"138.0822606",0,0,0,0,0
"138.0912292",0,0,0,0,0
"138.1074748",0,0,0,0,0
"138.5812202",0,0,0,0,0
"138.6091259",0,0,0,0,0
"138.991442",0,0,0,0,0
"139.0270355",0,0,0,0,0
"139.0364048",0,0,0,0,0
"139.0497212",0,0,0,0,0
"139.0500833",0,0,0,0,0
"139.0501602",0,0,0,0,0
"139.0581945",0,0,0,0,0
"139.0827905",0,0,0,0,0
"139.0942411",0,0,0,0,0
"139.1477617",0,0,0,0,0
"139.9146517",0,0,0,0,0
"140.0491622",0,0,0,0,0
"140.0534436",0,0,0,0,0
"140.0681817",0,0,0,0,0
"141.0158574",0,0,0,-0.24048,0
"141.0569821",0,0,0,0,0
"142.0474967",0,0,0,0,0
"142.0649088",0,0,0,0,0
"142.589495",0,0,0,0,0
"142.9379356",0,0,0,0,0
"142.984313",0,0,0,0,0
"143.027417",0,0,0,0,0
"143.0632082",0,0,0,0,0
"143.0726976",0,0,0,0,0
"143.0814234",0,0,0,0,0
"143.1176526",0,0,0,0,0
"143.117754",0,0,0,0,0
"143.1178141",0,0,0,0,0
"143.579023",0,0,0,0,0
"144.0442195",0,0,0,0,0
"144.0654329",0,0,0,0,0
"144.0806216",0,0,0,0,0
"144.1380385",0,0,0,0,0
"145.0838381",0,0,0,0,0
"145.5764853",0,0,0,0,0
"146.0269415",0,0,0,0,0
"146.0597929",0,0,0,0,0
"146.0599963",0,0,0,0,0
"146.0870909",0,0,0,0,0
"146.0922995",0,0,0,0,0
"146.1175019",0,0,0,0,0
"147.0139726",0,0,0,0,0
"147.0222405",0,0,0,0,0
"147.043923",0,0,0,0,0
"147.0630504",0,0,0,0,0
"147.0650205",0,0,0,0,0
"147.0764652",0,0,0,0,0
"147.1128519",0,0,0,0,0
"147.5941454",0,0,0,0,0
"148.014627",0,0,0,0,0
"148.0472471",0,0,0,0,0
"148.0603356",0,0,0,0,0
"148.06648",0,0,0,0,0
"148.0756261",0,0,0,0,0
"148.0794082",0,0,0,0,0
"148.0957283",0,0,0,0,0
"148.1161582",0,0,0,0,0
